"Survey","RowID","AOU","X","Y","Date","Count","Occ","NCap"
"BBL",7195,"GSGO",-75.05281,38.47212,2016-01-16,1,1,1
"BBL",7193,"GSGO",-75.05287,38.47205,2016-01-16,1,1,1
"BBL",7194,"GSGO",-75.05292,38.47206,2016-01-16,1,1,1
"BBL",8182,"GSGO",-75.0632,38.3946,2021-01-09,1,1,1
"BBL",346,"ABDU",-75.06629,38.65011,2017-12-09,1,1,1
"BBL",9839,"MALL",-75.06629,38.65011,2018-10-26,1,1,1
"BBL",10969,"MALL",-75.06629,38.65011,2021-10-26,1,1,1
"BBL",1141,"ABDU",-75.06629,38.65011,2021-12-23,1,1,2
"BBL",6323,"CAGO",-75.06687,38.39308,2020-06-05,1,1,1
"BBL",4754,"CAGO",-75.0723,38.46475,2018-07-13,1,1,1
"BBL",845,"ABDU",-75.07323,38.46039,2020-01-18,1,1,1
"BBL",672,"ABDU",-75.07462,38.69289,2019-01-07,1,1,1
"BBL",10053,"MALL",-75.07462,38.69289,2019-01-14,1,1,1
"BBL",351,"ABDU",-75.07548,38.64544,2017-12-13,1,1,1
"BBL",2358,"CAGO",-75.07574,38.49178,2016-11-24,1,1,1
"BBL",324,"ABDU",-75.07574,38.49178,2017-11-07,1,1,1
"BBL",363,"ABDU",-75.07574,38.49178,2017-12-16,1,1,1
"BBL",486,"ABDU",-75.07574,38.49178,2018-01-15,1,1,1
"BBL",10608,"MALL",-75.07574,38.49178,2020-10-31,1,1,1
"BBL",1384,"AGWT",-75.07574,38.49178,2020-12-24,1,1,1
"BBL",10802,"MALL",-75.07574,38.49178,2021-01-16,1,1,1
"BBL",1028,"ABDU",-75.07574,38.49178,2021-01-20,1,1,1
"BBL",493,"ABDU",-75.07832,38.6417,2018-01-16,1,1,1
"BBL",487,"ABDU",-75.08288,38.64819,2018-01-15,1,1,1
"BBL",9156,"MALL",-75.08446,38.50477,2017-01-24,1,1,1
"BBL",1216,"AGWT",-75.08491,38.3365,2017-02-11,1,1,1
"BBL",9568,"MALL",-75.08491,38.3365,2018-01-12,1,1,1
"BBL",9835,"MALL",-75.08491,38.3655,2018-10-18,1,1,1
"BBL",5691,"CAGO",-75.08561,38.33784,2019-09-08,1,1,1
"BBL",11140,"SUSC",-75.0877,38.68264,2019-01-03,1,1,1
"BBL",11008,"MALL",-75.08896,38.48411,2021-12-10,1,1,1
"BBL",1019,"ABDU",-75.08907,38.54511,2021-01-16,1,1,1
"BBL",8778,"MALL",-75.09546,38.76678,2016-10-28,1,1,1
"BBL",7541,"GSGO",-75.09546,38.76678,2017-12-30,1,1,1
"BBL",8156,"GSGO",-75.09546,38.76678,2020-09-21,1,1,1
"BBL",212,"ABDU",-75.09571,38.34782,2017-01-11,1,1,1
"BBL",8432,"LESC",-75.0984,38.5761,2018-01-12,1,1,1
"BBL",4419,"CAGO",-75.09841,38.6155,2018-01-27,1,1,1
"BBL",7640,"GSGO",-75.09907,38.56163,2018-02-12,1,1,1
"BBL",1364,"AGWT",-75.09919,38.78451,2020-10-31,1,1,1
"BBL",1048,"ABDU",-75.10046,38.60011,2021-01-28,1,1,1
"BBL",8686,"MALL",-75.10332,38.3365,2016-01-29,1,1,1
"BBL",11097,"NOPI",-75.10332,38.3365,2019-11-29,1,1,1
"BBL",1014,"ABDU",-75.10332,38.3365,2021-01-13,1,1,1
"BBL",8207,"GSGO",-75.10332,38.3365,2021-01-21,1,1,1
"BBL",12046,"WODU",-75.10391,38.70759,2020-10-30,1,1,1
"BBL",3775,"CAGO",-75.10418,38.39686,2017-12-25,1,1,1
"BBL",9457,"MALL",-75.10437,38.34048,2017-12-30,1,1,1
"BBL",10678,"MALL",-75.10443,38.32112,2020-12-17,1,1,1
"BBL",222,"ABDU",-75.10509,38.57516,2017-01-14,1,1,1
"BBL",2159,"CAGO",-75.10658,38.5915,2016-09-03,1,1,1
"BBL",9558,"MALL",-75.10661,38.46233,2018-01-11,1,1,1
"BBL",9155,"MALL",-75.10958,38.3916,2017-01-24,1,1,1
"BBL",9657,"MALL",-75.1102,38.73205,2018-01-17,1,1,1
"BBL",11306,"WODU",-75.11094,38.316,2016-11-21,1,1,1
"BBL",507,"ABDU",-75.11199,38.31602,2018-01-18,1,1,1
"BBL",6332,"CAGO",-75.11607,38.74409,2020-07-02,15,1,15
"BBL",10993,"MALL",-75.11919,38.36308,2021-11-24,1,1,1
"BBL",110,"ABDU",-75.12083,38.77456,2016-11-25,1,1,1
"BBL",7558,"GSGO",-75.1209,38.69664,2018-01-06,1,1,1
"BBL",7583,"GSGO",-75.12124,38.74147,2018-01-20,2,1,2
"BBL",9447,"MALL",-75.12135,38.62954,2017-12-29,1,1,1
"BBL",177,"ABDU",-75.12172,38.3365,2016-12-29,1,1,1
"BBL",1457,"AMWI",-75.12172,38.3365,2018-11-10,1,1,1
"BBL",684,"ABDU",-75.12172,38.3365,2019-01-12,1,1,1
"BBL",9668,"MALL",-75.1227,38.28584,2018-01-18,1,1,1
"BBL",6920,"CAGO",-75.12324,38.54956,2021-09-04,1,1,1
"BBL",5570,"CAGO",-75.12399,38.34746,2019-06-01,1,1,1
"BBL",11100,"NOPI",-75.12555,38.48761,2020-01-25,1,1,1
"BBL",1445,"AMWI",-75.12567,38.32262,2016-01-13,1,1,1
"BBL",31,"ABDU",-75.12567,38.32262,2016-01-20,1,1,1
"BBL",2299,"CAGO",-75.12567,38.32262,2016-11-19,1,1,1
"BBL",407,"ABDU",-75.12567,38.32262,2018-01-01,1,1,1
"BBL",6453,"CAGO",-75.12913,38.54697,2020-11-28,1,1,1
"BBL",3188,"CAGO",-75.12922,38.549,2017-02-04,1,1,1
"BBL",8238,"GSGO",-75.13071,38.48717,2021-02-03,1,1,1
"BBL",233,"ABDU",-75.1308,38.28596,2017-01-20,1,1,1
"BBL",4415,"CAGO",-75.13221,38.57392,2018-01-27,1,1,1
"BBL",719,"ABDU",-75.1323,38.56861,2019-01-25,1,1,1
"BBL",2753,"CAGO",-75.13273,38.4965,2017-01-09,1,1,1
"BBL",8995,"MALL",-75.13296,38.73345,2016-12-31,1,1,1
"BBL",4412,"CAGO",-75.13548,38.47417,2018-01-27,1,1,1
"BBL",9075,"MALL",-75.13595,38.68836,2017-01-12,1,1,1
